agent_accuracy,anomaly_accuracy,context_accuracy,loss,next_event_accuracy,val_agent_accuracy,val_anomaly_accuracy,val_context_accuracy,val_loss,val_next_event_accuracy
0.560693621635437,0.5231214165687561,0.09537572413682938,2.825083017349243,0.8135837912559509,0.9932432174682617,0.4932432472705841,0.18918919563293457,1.3576602935791016,1.0
0.9841040372848511,0.4667630195617676,0.23699422180652618,1.1961839199066162,1.0,1.0,0.5135135054588318,0.29729729890823364,1.0256116390228271,1.0
1.0,0.4696531891822815,0.3482658863067627,0.916666567325592,1.0,1.0,0.5675675868988037,0.45270270109176636,0.8757514953613281,1.0
1.0,0.5202311873435974,0.43352600932121277,0.8365732431411743,1.0,1.0,0.6486486196517944,0.4256756901741028,0.8087863326072693,1.0
1.0,0.5028901696205139,0.45375722646713257,0.7697378396987915,1.0,1.0,0.6148648858070374,0.45945945382118225,0.7583888173103333,1.0
1.0,0.5476878881454468,0.4566473960876465,0.7483261227607727,1.0,1.0,0.6283783912658691,0.37837839126586914,0.7820262312889099,1.0
1.0,0.5303468108177185,0.46098265051841736,0.7292645573616028,1.0,1.0,0.5743243098258972,0.4324324429035187,0.7581151723861694,1.0
1.0,0.5057803392410278,0.486994206905365,0.7041023373603821,1.0,1.0,0.5675675868988037,0.4864864945411682,0.7723529934883118,1.0
1.0,0.5693641901016235,0.5072254538536072,0.6879220008850098,1.0,1.0,0.4932432472705841,0.47297295928001404,0.7542585134506226,1.0
1.0,0.5838150382041931,0.5419074892997742,0.6646678447723389,1.0,1.0,0.6418918967247009,0.45945945382118225,0.814933180809021,1.0
1.0,0.5780346989631653,0.5289017558097839,0.6580349802970886,1.0,1.0,0.587837815284729,0.45945945382118225,0.8216184377670288,1.0
1.0,0.5780346989631653,0.560693621635437,0.6304588317871094,1.0,1.0,0.6148648858070374,0.4324324429035187,0.8244102001190186,1.0
1.0,0.5794797539710999,0.5924855470657349,0.6085026264190674,1.0,1.0,0.5675675868988037,0.45270270109176636,0.8187789916992188,1.0
1.0,0.6112716794013977,0.5968208312988281,0.5741486549377441,1.0,1.0,0.5472972989082336,0.43918919563293457,0.9049485921859741,1.0
1.0,0.6040462255477905,0.634393036365509,0.5423417687416077,1.0,1.0,0.5945945978164673,0.4189189076423645,0.945701003074646,1.0
1.0,0.6459537744522095,0.6560693383216858,0.5094383955001831,1.0,1.0,0.6351351141929626,0.45945945382118225,1.0169376134872437,1.0
1.0,0.6430636048316956,0.6950867176055908,0.4798448979854584,1.0,1.0,0.5337837934494019,0.45270270109176636,1.0393121242523193,1.0
1.0,0.6271676421165466,0.7268785834312439,0.43877679109573364,1.0,1.0,0.5675675868988037,0.4324324429035187,1.1047894954681396,1.0
1.0,0.6228323578834534,0.7442196607589722,0.4380451738834381,1.0,1.0,0.5675675868988037,0.43918919563293457,1.1020259857177734,1.0
1.0,0.6372832655906677,0.7095375657081604,0.4212108552455902,1.0,1.0,0.5135135054588318,0.43918919563293457,1.1650725603103638,1.0
1.0,0.6257225275039673,0.7456647157669067,0.4020843803882599,1.0,1.0,0.587837815284729,0.4797297418117523,1.2313264608383179,1.0
1.0,0.6661849617958069,0.7601156234741211,0.3760490119457245,1.0,0.9932432174682617,0.5067567825317383,0.4189189076423645,1.2794406414031982,1.0
1.0,0.663294792175293,0.7745664715766907,0.3582746386528015,1.0,1.0,0.5675675868988037,0.44594594836235046,1.3316724300384521,1.0
1.0,0.6878612637519836,0.7904624342918396,0.3448450267314911,1.0,1.0,0.5337837934494019,0.45270270109176636,1.3555094003677368,1.0
1.0,0.6647399067878723,0.7875722646713257,0.3314110338687897,1.0,1.0,0.5337837934494019,0.4256756901741028,1.4218116998672485,1.0
1.0,0.6806358098983765,0.8092485666275024,0.3179314434528351,1.0,0.9932432174682617,0.5337837934494019,0.4256756901741028,1.4712092876434326,1.0
1.0,0.6676300764083862,0.8020231127738953,0.31729570031166077,1.0,1.0,0.6216216087341309,0.45270270109176636,1.4478583335876465,1.0
1.0,0.7052023410797119,0.8280346989631653,0.2824966609477997,1.0,1.0,0.5202702879905701,0.44594594836235046,1.5941158533096313,1.0
1.0,0.7225433588027954,0.8569363951683044,0.25503483414649963,1.0,1.0,0.5608108043670654,0.4324324429035187,1.58513605594635,1.0
1.0,0.7384393215179443,0.852601170539856,0.23118716478347778,1.0,0.9932432174682617,0.5540540814399719,0.45270270109176636,1.6017804145812988,1.0
1.0,0.75,0.8554913401603699,0.23077797889709473,1.0,0.9932432174682617,0.5540540814399719,0.44594594836235046,1.75325345993042,1.0
1.0,0.7456647157669067,0.8786126971244812,0.21020613610744476,1.0,1.0,0.5135135054588318,0.43918919563293457,1.8031353950500488,1.0
1.0,0.7731214165687561,0.8670520186424255,0.2273159623146057,1.0,1.0,0.5337837934494019,0.45945945382118225,1.8700425624847412,1.0
1.0,0.7991329431533813,0.8757225275039673,0.21548797190189362,1.0,1.0,0.5608108043670654,0.4189189076423645,1.8454700708389282,1.0
1.0,0.7716763019561768,0.8641618490219116,0.22621214389801025,1.0,1.0,0.5540540814399719,0.4797297418117523,1.7700268030166626,1.0
1.0,0.8005780577659607,0.8786126971244812,0.20432431995868683,1.0,1.0,0.5270270109176636,0.46621620655059814,1.780202865600586,1.0
1.0,0.8309248685836792,0.8728323578834534,0.2116256058216095,1.0,1.0,0.5270270109176636,0.44594594836235046,1.943817377090454,1.0
1.0,0.8164739608764648,0.8670520186424255,0.21190164983272552,1.0,1.0,0.5135135054588318,0.4324324429035187,1.7998685836791992,1.0
1.0,0.8265895843505859,0.8771676421165466,0.18957550823688507,1.0,1.0,0.5,0.44594594836235046,1.9421725273132324,1.0
1.0,0.8265895843505859,0.8887283205986023,0.17416082322597504,1.0,1.0,0.5608108043670654,0.43918919563293457,1.9068388938903809,1.0
1.0,0.8554913401603699,0.8829479813575745,0.1670924425125122,1.0,1.0,0.5270270109176636,0.45270270109176636,1.9755398035049438,1.0
1.0,0.8554913401603699,0.8858381509780884,0.16003793478012085,1.0,1.0,0.5405405163764954,0.4256756901741028,1.9470819234848022,1.0
1.0,0.8627167344093323,0.8887283205986023,0.1612803041934967,1.0,0.9932432174682617,0.5472972989082336,0.44594594836235046,1.9186762571334839,1.0
1.0,0.8670520186424255,0.8901734352111816,0.14796659350395203,1.0,1.0,0.5405405163764954,0.43918919563293457,1.9900729656219482,1.0
1.0,0.8684971332550049,0.8815028667449951,0.1585477888584137,1.0,1.0,0.5135135054588318,0.46621620655059814,2.0273804664611816,1.0
1.0,0.865606963634491,0.8930636048316956,0.14552338421344757,1.0,1.0,0.5337837934494019,0.43918919563293457,2.1007080078125,1.0
1.0,0.8858381509780884,0.897398829460144,0.14155524969100952,1.0,1.0,0.5405405163764954,0.45270270109176636,2.082519054412842,1.0
1.0,0.865606963634491,0.8930636048316956,0.14956103265285492,1.0,1.0,0.5472972989082336,0.45945945382118225,2.0875205993652344,1.0
1.0,0.8800578117370605,0.8901734352111816,0.14787817001342773,1.0,1.0,0.5405405163764954,0.46621620655059814,2.1190874576568604,1.0
1.0,0.8959537744522095,0.8858381509780884,0.13998806476593018,1.0,1.0,0.5472972989082336,0.46621620655059814,2.0782084465026855,1.0
